id,name,latitude,longitude,dpcapacity,landmark
2,Michigan Ave & Balbo Ave,41.872293,-87.624091,35,541
3,Shedd Aquarium,41.86722596,-87.61535539,31,544
4,Burnham Harbor,41.856268,-87.613348,23,545
5,State St & Harrison St,41.874053,-87.627716,23,30
6,Dusable Harbor,41.88504199,-87.61279454,31,548
7,Field Blvd & South Water St,41.88634906,-87.61751655,19,534
9,Leavitt St & Archer Ave,41.82879202,-87.68060446,19,695
11,Jeffery Blvd & 71st St,41.76663824,-87.57645011,11,496
12,South Shore Dr & 71st St,41.76640946,-87.56568757,15,497
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,66
14,Morgan St & 18th St,41.858086,-87.651073,15,163
15,Racine Ave & 18th St,41.858166,-87.656495,15,164
16,Wood St & North Ave,41.910329,-87.672516,11,223
17,Wood St & Division St,41.90332,-87.67273,15,246
18,Wacker Dr & Washington St,41.88327159,-87.63731329,19,536
19,Loomis St & Taylor St,41.869417,-87.660996,15,139
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,154
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,157
22,May St & Taylor St,41.8694821,-87.6554864,15,160
23,Orleans St & Elm St,41.902924,-87.637715,15,172
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,262
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,34
26,McClurg Ct & Illinois St,41.89102,-87.6173,31,51
27,Larrabee St & North Ave,41.91021,-87.6435,19,174
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,282
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,290
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,248
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,17
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,76
33,State St & Van Buren St,41.877181,-87.627844,27,3
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,124
35,Streeter Dr & Illinois St,41.891071,-87.6122,39,22
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,31,19
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,20
38,Clark St & Lake St,41.88602083,-87.63087606,27,547
