id,name,latitude,longitude,dpcapacity,online_date
456,2112 W Peterson Ave,41.991178,-87.683593,15,5/12/2015
101,63rd St Beach,41.78101637,-87.57611976,23,4/20/2015
109,900 W Harrison St,41.874675,-87.650019,19,8/6/2013
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,6/21/2013
80,Aberdeen St & Monroe St,41.88042,-87.655599,19,6/26/2013
346,Ada St & Washington Blvd,41.88283,-87.661206,15,10/10/2013
341,Adler Planetarium,41.866095,-87.607267,35,10/9/2013
480,Albany (Kedzie) Ave & Montrose Ave,41.961041,-87.705866,15,5/5/2015
444,Albany Ave & 26th St,41.84447501,-87.70201301,19,4/29/2015
511,Albany Ave & Bloomingdale Ave,41.91402671,-87.70512646,15,5/9/2015
376,Artesian Ave & Hubbard St,41.88949182,-87.68821936,35,4/27/2015
275,Ashland Ave & 13th St,41.865234,-87.666507,15,9/12/2013
208,Ashland Ave & 21st St,41.85381,-87.665897,15,8/15/2013
555,Ashland Ave & 50th St,41.803023,-87.664699,11,6/17/2016
563,Ashland Ave & 63rd St,41.779374,-87.664843,15,6/20/2016
565,Ashland Ave & 66th St,41.774074,-87.663815,11,6/21/2016
566,Ashland Ave & 69th St,41.768726,-87.664069,11,6/23/2016
368,Ashland Ave & Archer Ave,41.83920868,-87.66560986,19,4/13/2015
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,6/22/2013
246,Ashland Ave & Belle Plaine Ave,41.956061,-87.668869,11,8/26/2013
333,Ashland Ave & Blackhawk St,41.907066,-87.667252,15,9/27/2013
350,Ashland Ave & Chicago Ave,41.895966,-87.667747,15,10/22/2013
210,Ashland Ave & Division St,41.90345,-87.667747,19,8/16/2013
558,Ashland Ave & Garfield Blvd,41.792822,-87.664429,11,6/20/2016
347,Ashland Ave & Grace St,41.950687,-87.6687,15,10/12/2013
277,Ashland Ave & Grand Ave,41.891072,-87.666611,15,9/12/2013
383,Ashland Ave & Harrison St,41.87429061,-87.66724564,23,4/27/2015
119,Ashland Ave & Lake St,41.88541,-87.66732,19,7/28/2013
552,Ashland Ave & McDowell Ave,41.80887,-87.66454,11,6/17/2016
547,Ashland Ave & Pershing Rd,41.823465,-87.665577,11,6/16/2016
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,19,8/26/2013
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,7/25/2013
524,Austin Blvd & Chicago Ave,41.894887,-87.774704,11,7/19/2016
532,Austin Blvd & Lake St,41.887919,-87.774446,15,6/10/2016
496,Avers Ave & Belmont Ave,41.93944839,-87.72355383,19,5/13/2015
483,Avondale Ave & Irving Park Rd,41.953393,-87.732002,19,5/6/2015
596,Benson Ave & Church St,42.048214,-87.683485,15,6/29/2016
113,Bissell St & Armitage Ave,41.91844,-87.65222,15,9/5/2013
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,19,8/28/2013
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,7/25/2013
522,Bosworth Ave & Howard St,42.019537,-87.669563,15,7/7/2016
295,Broadway & Argyle St,41.972972,-87.659637,15,9/18/2013
300,Broadway & Barry Ave,41.937725,-87.644095,19,9/19/2013
296,Broadway & Belmont Ave,41.940106,-87.645451,15,9/18/2013
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,9/18/2013
303,Broadway & Cornelia Ave,41.945512,-87.64598,15,9/19/2013
454,Broadway & Granville Ave,41.99477969,-87.66028453,15,5/11/2015
461,Broadway & Ridge Ave,41.98404461,-87.66027383,15,5/11/2015
256,Broadway & Sheridan Rd,41.952833,-87.649993,15,9/5/2013
458,Broadway & Thorndale Ave,41.98974251,-87.66014062,19,5/11/2015
304,Broadway & Waveland Ave,41.949065,-87.648601,15,9/19/2013
293,Broadway & Wilson Ave,41.965485,-87.657238,19,9/18/2013
468,Budlong Woods Library,41.98366471,-87.69642256,15,5/6/2015
4,Burnham Harbor,41.856268,-87.613348,23,5/16/2015
348,California Ave & 21st St,41.854016,-87.695445,15,10/14/2013
442,California Ave & 23rd Pl,41.84910969,-87.69513981,15,4/28/2015
445,California Ave & 26th St,41.84404003,-87.69529592,19,4/29/2015
502,California Ave & Altgeld St,41.926618,-87.697899,19,5/13/2015
487,California Ave & Byron St,41.95216219,-87.69805111,19,7/7/2015
216,California Ave & Division St,41.903029,-87.697474,15,8/16/2013
498,California Ave & Fletcher St,41.93842879,-87.69800776,19,5/4/2015
259,California Ave & Francis Pl,41.918121,-87.696972,15,9/12/2013
378,California Ave & Lake St,41.88445396,-87.69629814,15,4/27/2015
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,7/26/2013
481,California Ave & Montrose Ave,41.961068,-87.695439,15,7/7/2015
276,California Ave & North Ave,41.91044,-87.6972,11,9/12/2013
338,Calumet Ave & 18th St,41.857611,-87.619407,15,9/28/2013
370,Calumet Ave & 21st St,41.85418425,-87.61915374,15,5/1/2015
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,8/3/2013
335,Calumet Ave & 35th St,41.831379,-87.618034,15,10/17/2013
415,Calumet Ave & 51st St,41.80229465,-87.61805358,19,4/16/2015
393,Calumet Ave & 71st St,41.76550801,-87.61691793,15,4/21/2015
504,Campbell Ave & Fullerton Ave,41.92463247,-87.68930701,15,5/21/2015
482,Campbell Ave & Montrose Ave,41.96152593,-87.69116504,15,5/14/2015
160,Campbell Ave & North Ave,41.910535,-87.689556,15,7/26/2013
192,Canal St & Adams St,41.879255,-87.639904,47,8/7/2013
169,Canal St & Harrison St,41.874337,-87.639566,15,7/23/2013
75,Canal St & Jackson Blvd,41.878412,-87.641052,31,6/15/2013
174,Canal St & Madison St,41.882091,-87.639833,27,7/28/2013
191,Canal St & Monroe St (*),41.880884,-87.639525,28,8/7/2013
414,Canal St & Taylor St,41.870257,-87.639474,15,11/25/2015
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,6/27/2013
92,Carpenter St & Huron St,41.894556,-87.653449,19,6/26/2013
550,Central Ave & Chicago Ave,41.894958,-87.764902,11,7/19/2016
541,Central Ave & Harrison St,41.872993,-87.764499,15,6/14/2016
531,Central Ave & Lake St,41.887664,-87.765469,15,7/27/2016
542,Central Ave & Madison St,41.880121,-87.763238,15,6/14/2016
500,Central Park Ave & Elbridge Ave,41.93533728,-87.71688929,15,5/4/2015
508,Central Park Ave & North Ave,41.90965688,-87.71663195,15,4/30/2015
438,Central Park Ave & Ogden Ave,41.85420431,-87.71540584,19,4/29/2015
533,Central Park Blvd & 5th Ave,41.875679,-87.71547,15,6/10/2016
602,Central St & Girard Ave,42.063999,-87.685962,15,7/8/2016
601,Central St Metra,42.063598,-87.69873,15,6/29/2016
578,Chappel Ave & 79th St,41.751802,-87.574845,11,7/21/2016
603,Chicago Ave & Sheridan Rd,42.050491,-87.677821,15,7/1/2016
597,Chicago Ave & Washington St,42.032562,-87.679101,15,6/29/2016
474,Christiana Ave & Lawrence Ave,41.96835449,-87.71183067,15,5/16/2015
538,Cicero Ave & Flournoy St,41.872131,-87.746619,15,6/15/2016
529,Cicero Ave & Lake St,41.886841,-87.745261,15,6/10/2016
539,Cicero Ave & Quincy St,41.877613,-87.745405,15,6/14/2016
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,19,8/10/2013
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,7/26/2013
312,Clarendon Ave & Gordon Ter,41.957879,-87.649519,15,9/20/2013
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,15,8/26/2013
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,15,8/26/2013
394,Clark St & 9th St (AMLI),41.870816,-87.631246,15,8/26/2015
94,Clark St & Armitage Ave,41.918306,-87.636282,19,6/22/2013
463,Clark St & Berwyn Ave,41.97799665,-87.6680471,19,5/14/2015
460,Clark St & Bryn Mawr Ave,41.983593,-87.669154,15,5/11/2015
337,Clark St & Chicago Ave,41.896544,-87.630931,19,9/27/2013
449,Clark St & Columbia Ave,42.00445063,-87.6724024,15,5/12/2015
50,Clark St & Congress Pkwy,41.87593267,-87.63058454,27,6/16/2013
176,Clark St & Elm St,41.902973,-87.63128,27,8/1/2013
457,Clark St & Elmdale Ave,41.99089375,-87.6695834,19,5/11/2015
165,Clark St & Grace St,41.95078,-87.659172,19,8/3/2013
517,Clark St & Jarvis Ave,42.015963,-87.675005,15,7/7/2016
38,Clark St & Lake St,41.88602083,-87.63087606,27,4/18/2015
326,Clark St & Leland Ave,41.967096,-87.667429,11,9/27/2013
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,8/16/2013
432,Clark St & Lunt Ave,42.00906913,-87.67371139,19,5/15/2015
234,Clark St & Montrose Ave,41.961588,-87.666036,19,8/21/2013
