station_name,lng,lat,end_station_id
Lincoln Ave & Fullerton Ave,-87.667968,41.91461,TA1309000058
Kimbark Ave & 53rd St,-87.594747,41.799568,TA1309000037
Western Ave & Lunt Ave,-87.700825,41.965875,RP-005
Lakeview Ave & Fullerton Pkwy,-87.648556352,41.949097157,TA1309000019
Broadway & Waveland Ave,-87.648576856,41.949087858,13325
Lincoln Park Conservatory,-87.648604631,41.949100018,LP-
Clark St & Columbia Ave,-87.67238152,42.004461408,RP-008
McClurg Ct & Ohio St,-87.623041,41.867888,TA1306000029
Clarendon Ave & Gordon Ter,-87.648450255,41.949062943,13379
Clark St & Berwyn Ave,-87.648652673,41.949104905,KA1504000146
Clark St & Newport St,-87.648636,41.949074,632
Avondale Ave & Irving Park Rd,-87.731816173,41.953410029,15624
Wilton Ave & Diversey Pkwy,-87.623042583,41.867916346,TA1306000014
Komensky Ave & 55th St,-87.72,41.79,347
Central St & Girard Ave,-87.686099529,42.064259052,E007
Troy St & Elston Ave,-87.648603916,41.949082971,15631
Dorchester Ave & 49th St,-87.594747,41.799568,KA1503000069
Millennium Park,-87.623041,41.867888,13008
Hampden Ct & Diversey Ave,-87.646278381,41.924073935,202480.0
Damen Ave & Thomas St (Augusta Blvd),-87.648761749,41.883183956,TA1307000070
Evanston Civic Center,-87.686194,42.064343666666666,661
Hoyne Ave & Balmoral Ave,-87.654608011,41.973410249,655
Damen Ave & Division St,-87.679243684,41.963241696,13136
Lincoln Ave & Diversey Pkwy,-87.648636,41.949074,TA1307000064
Broadway & Sheridan Rd,-87.648636,41.949074,13323
Kedzie Ave & Milwaukee Ave,-87.648636,41.949074,13085
Clark St & Elmdale Ave,-87.61728912591934,41.892592119709725,KA1504000148
Sacramento Blvd & Franklin Blvd,-87.677409,41.901315,KA1504000113
Pulaski Rd & 51st St,-87.72,41.79,343
Elmwood Ave & Austin St,-87.684166431,42.025811076,598
Warren Park West,-87.6724024047,42.00445062934,RP-001
Greenwood Ave & 47th St,-87.594747,41.799568,TA1308000002
Valli Produce - Evanston Plaza,-87.69048283333333,42.008571,599
Greenview Ave & Fullerton Ave,-87.648636,41.949074,TA1307000001
Western Ave & Howard St,-87.68615066666666,42.064271833333336,527
Michigan Ave & Pearson St,-87.61728912591934,41.892592119709725,13034
Southport Ave & Roscoe St,-87.648636,41.949074,13071
Western Ave & Grace St,-87.7,41.91,431
Clark St & Leland Ave,-87.6485852,41.94909966,TA1309000014
Warren Park East,-87.699414611,42.039674044,RP-002
N Sheffield Ave & W Wellington Ave,-87.652687192,41.932506442,20256.0
Wolcott (Ravenswood) Ave & Montrose Ave,-87.64863503,41.949099302,TA1307000144
Sheffield Ave & Wrightwood Ave,-87.648636,41.949074,TA1309000023
Wilton Ave & Belmont Ave,-87.64854866666667,41.94908633333333,TA1307000134
Burling St & Diversey Pkwy,-87.648636,41.949074,TA1309000036
Springfield Ave & 47th St,-87.71,41.81,344
Lakefront Trail & Bryn Mawr Ave,-87.650154,41.9716,15576
Clark St & Wellington Ave,-87.648636,41.949074,TA1307000136
Racine Ave & Fullerton Ave,-87.64883,41.919936,TA1306000026
Ravenswood Ave & Lawrence Ave,-87.648636,41.949074,TA1309000066
California Ave & Lake St,-87.67722,41.895769,15666
Western Ave & Monroe St,-87.67373085021973,41.869265218438194,15667
Evans Ave & 75th St,-87.64487783333334,41.7875695,570
Benson Ave & Church St,-87.686152,42.064313,596
Clark St & Drummond Pl,-87.648640513,41.949084997,TA1307000142
Southport Ave & Waveland Ave,-87.648619652,41.949103236,13235
California Ave & North Ave,-87.648636,41.949074,13258
Woodlawn Ave & 55th St,-87.594747,41.799568,TA1307000164
Halsted St & Roscoe St,-87.648636,41.949074,TA1309000025
Cottage Grove Ave & 43rd St,-87.61678,41.8246,TA1308000023
Public Rack - Hyde Park Blvd & 55th St,-87.59039247,41.802612901,768
Damen Ave & Leland Ave,-87.648556948,41.949083328,TA1307000158
Blackstone Ave & Hyde Park Blvd,-87.594802141,41.799581766,13398
Clark St & Grace St,-87.648636,41.949074,TA1307000127
Broadway & Argyle St,-87.648636,41.949074,13108
Ridge Blvd & Howard St,-87.690048,42.018901,514
Eastlake Ter & Howard St,-87.688829,42.001785,523
Montrose Harbor,-87.623041,41.867888,TA1308000012
California Ave & Fletcher St,-87.700829387,41.965871572,15642
Burnham Harbor,-87.62783423066139,41.88462107257936,15545
Oakley Ave & Irving Park Rd,-87.652705,41.932418,KA1504000158
Rhodes Ave & 32nd St,-87.607267,41.866095,13215
