start_name,stop_name,count,start_lng,start_lat,stop_lng,stop_lat,distance
Clinton St & Lake St,Canal St & Adams St,114,-87.648626566,41.949066997,-87.623056769,41.867879987,11418.0
Clinton St & Lake St,Clinton St & Jackson Blvd,139,-87.648626566,41.949066997,-87.623041,41.867888,11417.1
Halsted St & Wrightwood Ave,Wilton Ave & Diversey Pkwy,121,-87.64854233333334,41.949085,-87.623042583,41.867916346,11370.0
Canal St & Adams St,Clinton St & Lake St,143,-87.623056769,41.867879987,-87.648626566,41.949066997,11339.0
Clinton St & Jackson Blvd,Clinton St & Lake St,180,-87.623041,41.867888,-87.648626566,41.949066997,11338.2
Wilton Ave & Diversey Pkwy,Clark St & Wrightwood Ave,110,-87.623042583,41.867916346,-87.64860933333334,41.949063333333335,11336.4
Wilton Ave & Diversey Pkwy,Halsted St & Wrightwood Ave,113,-87.623042583,41.867916346,-87.64854233333334,41.949085,11291.1
Franklin St & Chicago Ave,Wells St & Elm St,151,-87.648636,41.949074,-87.62825048,41.87710464,10985.3
Clinton St & Lake St,Kingsbury St & Kinzie St,112,-87.648626566,41.949066997,-87.627942204,41.877164006,10836.3
Wolcott Ave & Polk St,Hermitage Ave & Polk St,139,-87.628207207,41.876968741,-87.648635268,41.949091911,10555.2
Wells St & Elm St,Franklin St & Chicago Ave,145,-87.62825048,41.87710464,-87.648636,41.949074,10525.7
Wells St & Elm St,Wells St & Hubbard St,112,-87.62825048,41.87710464,-87.648636,41.949074,10525.7
Lake Park Ave & 56th St,Ellis Ave & 58th St,138,-87.623041,41.867888,-87.594747,41.799568,10513.3
Lake Park Ave & 56th St,University Ave & 57th St,498,-87.623041,41.867888,-87.594749808,41.799550414,10513.0
Sheffield Ave & Webster Ave,Sheffield Ave & Fullerton Ave,120,-87.627844,41.877181,-87.64862,41.94910266666667,10424.7
Ellis Ave & 58th St,Lake Park Ave & 56th St,146,-87.594747,41.799568,-87.623041,41.867888,9810.3
University Ave & 57th St,Lake Park Ave & 56th St,554,-87.594749808,41.799550414,-87.623041,41.867888,9810.1
Clinton St & Jackson Blvd,Sangamon St & Lake St,149,-87.623041,41.867888,-87.667984843,41.914598107,8259.3
Sangamon St & Lake St,Clinton St & Jackson Blvd,144,-87.667984843,41.914598107,-87.623041,41.867888,8204.0
Indiana Ave & 31st St,State St & 33rd St,114,-87.61678,41.8246,-87.627898335,41.877121925,6650.3
Kedzie Ave & Milwaukee Ave,St. Louis Ave & Fullerton Ave,126,-87.648636,41.949074,-87.701204419,41.931953549,6398.1
Wells St & Elm St,Wells St & Huron St,220,-87.62825048,41.87710464,-87.64883,41.919936,6273.1
Wells St & Huron St,Wells St & Elm St,260,-87.64883,41.919936,-87.62825048,41.87710464,6216.6
Bissell St & Armitage Ave*,Sheffield Ave & Kingsbury St,113,-87.667968,41.91461,-87.67373085021973,41.869265218438194,6016.4
Larrabee St & Kingsbury St,Clinton St & Jackson Blvd,129,-87.658871293,41.891812325,-87.623041,41.867888,5604.8
Larrabee St & Kingsbury St,Canal St & Adams St,120,-87.658871293,41.891812325,-87.623056769,41.867879987,5604.0
Racine Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,137,-87.667968,41.91461,-87.64862,41.94910266666667,5595.1
Halsted St & Polk St,Clinton St & Madison St,124,-87.628388286,41.884695053,-87.65420033333334,41.85519416666666,5575.2
Wells St & Concord Ln,Clark St & Armitage Ave,110,-87.640552,41.904613,-87.648636,41.949074,5572.7
Green St & Madison St,Kingsbury St & Kinzie St,116,-87.673803449,41.869354606,-87.627942204,41.877164006,5511.4
Clark St & Armitage Ave,Wells St & Concord Ln,124,-87.648636,41.949074,-87.640552,41.904613,5488.0
MLK Jr Dr & 29th St,Indiana Ave & 31st St,144,-87.626019597,41.867220283,-87.61678,41.8246,5463.3
Clark St & Elm St,Clark St & Schiller St,160,-87.639490247,41.876943469,-87.64883,41.919936,5424.2
Clark St & Bryn Mawr Ave,Broadway & Ridge Ave,160,-87.650001,41.967968,-87.64883,41.919936,5402.5
Broadway & Ridge Ave,Clark St & Bryn Mawr Ave,143,-87.64883,41.919936,-87.650001,41.967968,5390.6
Clark St & Schiller St,Clark St & Elm St,186,-87.64883,41.919936,-87.639490247,41.876943469,5343.4
Kingsbury St & Kinzie St,Desplaines St & Kinzie St,145,-87.627942204,41.877164006,-87.671473,41.889899,5081.4
Desplaines St & Kinzie St,Kingsbury St & Kinzie St,115,-87.671473,41.889899,-87.627942204,41.877164006,5043.2
Michigan Ave & 18th St,Wabash Ave & Roosevelt Rd,124,-87.654127121,41.855152965,-87.627844,41.877181,5030.2
Morgan St & Polk St,Halsted St & Maxwell St,135,-87.654144168,41.855135322,-87.627844,41.877181,5028.8
Clinton St & Madison St,Kingsbury St & Kinzie St,115,-87.65420033333334,41.85519416666666,-87.627942204,41.877164006,5026.0
Albany Ave & Bloomingdale Ave,Western Ave & Winnebago Ave,132,-87.667968,41.91461,-87.659172,41.95078,4953.4
Wabash Ave & Roosevelt Rd,Michigan Ave & 18th St,173,-87.627844,41.877181,-87.654127121,41.855152965,4729.0
Halsted St & Maxwell St,Morgan St & Polk St,165,-87.627844,41.877181,-87.654144168,41.855135322,4727.6
Federal St & Polk St,Daley Center Plaza,110,-87.627844,41.877181,-87.654145241,41.85515666,4727.5
Kingsbury St & Kinzie St,Clinton St & Madison St,169,-87.627942204,41.877164006,-87.65420033333334,41.85519416666666,4724.7
Morgan St & Polk St,Wolcott Ave & Polk St,137,-87.654144168,41.855135322,-87.628207207,41.876968741,4677.7
Wolcott Ave & Polk St,Morgan St & Polk St,131,-87.628207207,41.876968741,-87.654144168,41.855135322,4672.8
State St & 35th St,State St & 33rd St,120,-87.656495,41.858166,-87.627898335,41.877121925,4624.3
Wells St & Walton St,Franklin St & Chicago Ave,111,-87.663712,41.920771,-87.648636,41.949074,4460.4
Kingsbury St & Kinzie St,Larrabee St & Kingsbury St,125,-87.627942204,41.877164006,-87.658871293,41.891812325,4350.4
Kingsbury St & Erie St,Larrabee St & Kingsbury St,125,-87.627882123,41.877175093,-87.658871293,41.891812325,4348.1
State St & 33rd St,State St & 35th St,162,-87.627898335,41.877121925,-87.656495,41.858166,4318.1
McClurg Ct & Ohio St,Wabash Ave & Grand Ave,157,-87.623041,41.867888,-87.64169722795485,41.89380805624359,4294.6
Wells St & Elm St,Wells St & Concord Ln,188,-87.62825048,41.87710464,-87.640552,41.904613,4245.5
Larrabee St & Kingsbury St,Kingsbury St & Kinzie St,118,-87.658871293,41.891812325,-87.627942204,41.877164006,4191.0
Wells St & Concord Ln,Wells St & Elm St,179,-87.640552,41.904613,-87.62825048,41.87710464,4169.2
Clark St & Elm St,Wells St & Concord Ln,140,-87.639490247,41.876943469,-87.640552,41.904613,4163.5
Morgan St & Polk St,Clinton St & Jackson Blvd,117,-87.654144168,41.855135322,-87.623041,41.867888,4051.8
Morgan St & Polk St,May St & Taylor St,184,-87.654144168,41.855135322,-87.623041,41.867888,4051.8
Morgan St & Polk St,Loomis St & Lexington St,683,-87.654144168,41.855135322,-87.623041,41.867888,4051.8
